"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1590554461","1","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1590554463","70","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1590554465","140","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1590554467","211","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1590554470","283","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1590554472","351","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1590554474","420","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1590554476","487","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1590554479","546","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1590554481","616","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1590554483","687","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1590554486","754","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1590554488","825","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1590554490","894","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1590554492","963","","Aggregated",0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,2,0,31121,31230,31121,31338,145594
"1590554495","1000","","Aggregated",0.00,0.00,32000,32000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,18,0,32000,32134,31121,33079,145594
"1590554497","1000","","Aggregated",1.50,0.00,32000,32000,33000,33000,33000,35000,35000,35000,35000,35000,35000,35000,19,0,32000,32274,31121,34804,145594
"1590554499","1000","","Aggregated",1.80,0.00,33000,36000,36000,36000,37000,37000,37000,37000,37000,37000,37000,37000,30,0,33000,33785,31121,36919,145594
"1590554502","1000","","Aggregated",3.00,0.00,36000,37000,38000,38000,39000,39000,39000,39000,39000,39000,39000,39000,44,3,35000,33419,10309,39403,135678
"1590554504","1000","","Aggregated",4.40,0.30,38000,39000,40000,40000,41000,41000,41000,41000,41000,41000,41000,41000,56,3,36000,34901,10309,41349,137803
"1590554506","1000","","Aggregated",4.90,0.30,38000,40000,41000,41000,42000,43000,43000,43000,43000,43000,43000,43000,83,18,36000,33112,10309,42955,114055
"1590554508","1000","","Aggregated",6.50,1.80,39000,40000,42000,42000,44000,45000,45000,45000,45000,45000,45000,45000,112,37,35000,32601,10309,44916,97550
"1590554511","1000","","Aggregated",8.50,3.70,30000,41000,42000,43000,45000,46000,47000,47000,47000,47000,47000,47000,126,46,33000,32412,10309,47095,92501
"1590554513","1000","","Aggregated",8.60,4.30,30000,43000,45000,45000,48000,48000,49000,49000,49000,49000,49000,49000,139,48,36000,33609,10309,49009,95374
"1590554515","1000","","Aggregated",9.00,4.50,44000,46000,48000,48000,50000,50000,50000,51000,51000,51000,51000,51000,146,48,36000,34391,10309,50641,97782
"1590554518","1000","","Aggregated",8.50,4.50,47000,48000,49000,49000,50000,50000,51000,51000,51000,51000,51000,51000,161,63,36000,34494,10309,50641,88687
"1590554520","1000","","Aggregated",7.30,4.30,46000,48000,49000,49000,50000,50000,51000,51000,51000,51000,51000,51000,166,68,36000,34643,10309,50641,86021
"1590554522","1000","","Aggregated",4.30,2.20,44000,45000,46000,50000,50000,53000,55000,55000,55000,55000,55000,55000,183,85,37000,35303,10309,54853,78045
"1590554524","1000","","Aggregated",5.40,3.60,35000,44000,45000,45000,46000,53000,55000,55000,55000,55000,55000,55000,195,97,36000,35301,10309,54853,73252
